PID,RESPO,SAC_RCBF,VSRL,SPVT (Ours)
96,58,58,100,97
100,51,67,41,82
13,32,100,23,45
100,36,40,35,100
35,26,40,24,83
100,52,57,51,78
100,49,62,42,100
65,46,56,36,95
100,39,46,38,93
94,41,39,40,64
100,58,61,100,90
100,37,35,28,100
81,26,41,25,76
63,44,50,43,100
100,54,64,45,100
91,31,36,23,66
100,33,44,32,100
100,35,29,26,99
100,38,25,29,100
100,40,39,38,81
100,62,58,100,81
100,26,34,25,100
100,52,57,52,79
100,26,25,19,100
29,33,25,25,76
100,32,39,24,100
100,37,45,36,91
100,27,55,25,91
100,38,48,37,100
100,48,54,47,100
100,28,48,27,100
62,52,100,46,76
100,42,29,31,68
100,34,28,25,79
76,29,34,28,95
100,36,35,35,89
95,58,60,75,71
100,48,56,38,82
15,37,35,36,75
100,54,65,49,86
100,36,48,35,87
100,50,33,41,100
100,28,50,26,100
60,42,44,41,63
22,57,61,62,96
100,55,59,69,65
100,42,41,41,93
100,29,42,27,89
100,46,49,37,100
100,29,44,28,90
17,29,56,27,59
100,34,36,33,100
100,26,51,24,95
100,36,30,35,78
100,32,18,30,100
23,45,53,44,100
64,46,54,45,74
17,41,100,31,57
100,45,100,36,98
100,55,64,51,57
100,38,34,29,85
89,50,34,39,79
100,59,61,100,83
40,35,43,33,93
100,44,44,35,75
100,46,44,37,94
100,48,50,40,73
51,47,55,46,75
100,52,65,45,79
92,57,62,53,86
92,44,51,43,92
27,52,57,42,72
81,33,20,31,83
100,50,57,49,100
86,59,62,100,100
100,34,37,25,87
100,62,58,88,86
41,31,20,23,59
16,28,50,26,45
100,52,58,45,85
100,47,50,37,99
100,43,30,33,100
17,43,50,42,38
60,37,46,35,79
74,34,39,33,75
96,50,56,49,87
100,46,49,36,100
100,47,25,37,77
16,57,63,100,83
66,45,56,35,100
19,55,65,47,55
100,58,58,79,100
26,29,44,28,100
100,41,47,40,100
100,54,63,48,88
100,44,42,34,100
21,47,59,36,65
100,58,61,90,76
87,63,57,100,83
73,31,37,30,89
100,61,59,100,100
81,58,62,100,70
100,45,46,36,84
100,42,62,33,90
98,47,54,46,92
100,56,63,100,100
100,39,30,30,96
100,39,45,38,100
100,60,60,100,81
100,41,48,40,92
100,43,50,34,100
100,36,27,26,82
100,35,22,26,100
44,41,38,32,92
100,43,50,42,78
100,52,58,51,100
100,54,64,48,100
45,36,26,28,54
15,53,64,45,64
100,60,60,98,83
100,33,42,32,96
100,44,50,43,91
100,48,55,47,92
97,47,62,37,68
100,24,14,22,81
100,54,58,65,100
100,43,50,42,78
100,38,100,29,94
100,27,50,25,100
100,31,39,30,100
100,60,59,100,92
100,59,61,100,100
100,57,62,54,84
100,49,32,42,86
100,30,50,29,100
50,43,49,42,96
68,39,44,38,63
100,33,48,32,89
100,34,35,32,95
14,35,47,34,56
100,27,24,20,99
81,39,32,38,100
100,30,43,29,100
100,31,43,29,92
100,48,64,39,100
100,48,69,37,100
100,41,47,40,100
100,30,39,28,100
100,39,46,38,100
100,60,60,100,94
100,53,39,50,100
15,36,31,35,43
18,40,38,39,83
20,59,61,74,58
100,32,18,23,84
86,29,55,28,62
100,34,22,24,100
100,31,46,29,100
18,57,62,79,39
100,60,60,100,87
100,41,52,40,100
14,51,57,51,63
100,34,36,32,86
43,35,35,26,58
61,50,56,49,73
21,51,69,41,77
100,55,58,69,100
100,31,30,23,87
100,43,62,34,96
100,37,21,27,68
100,35,23,26,100
69,51,55,41,100
100,43,51,42,100
100,51,38,44,84
57,51,30,42,56
17,59,61,100,82
100,46,39,36,73
37,25,57,23,57
100,58,61,63,99
100,57,62,91,99
14,39,37,38,60
100,38,34,36,74
100,47,64,36,100
14,65,55,100,59
100,44,39,33,100
100,49,54,42,94
83,32,14,23,100
81,30,33,29,64
100,39,44,38,97
16,53,67,43,63
100,61,59,100,84
94,38,44,36,100
100,27,30,25,100
100,60,61,89,90
21,29,43,27,46
20,40,49,39,56
21,62,58,100,46
15,50,55,50,93
76,31,42,23,96
100,46,61,38,100
18,52,32,42,98
100,41,35,32,90
39,27,36,25,82
100,30,56,28,69
15,56,58,69,65
100,34,23,25,100
100,53,57,51,77
19,40,68,31,99
100,30,34,28,79
61,28,50,27,76
25,30,34,29,100
100,27,56,25,85
100,34,44,24,100
47,29,29,27,71
100,47,55,46,100
21,58,61,94,55
76,60,60,100,64
100,40,25,29,80
100,41,25,31,100
33,58,63,100,76
100,43,49,42,97
100,37,29,29,100
100,45,45,36,100
100,43,56,34,86
100,26,40,24,100
100,58,62,53,94
100,26,56,24,90
100,34,26,33,95
22,40,43,38,55
100,46,53,45,100
100,59,62,100,96
100,36,31,27,100
100,32,100,23,100
100,57,63,51,70
100,46,53,45,100
75,43,51,42,76
57,44,52,43,61
100,38,23,28,98
100,42,50,41,99
100,45,52,44,91
100,45,53,44,100
100,57,45,100,100
100,52,63,45,89
51,40,39,30,100
100,48,34,38,90
100,30,37,28,100
39,37,49,36,80
100,46,100,35,100
100,28,28,20,76
100,32,49,31,100
100,40,26,39,100
31,26,49,25,51
100,54,66,45,100
100,55,65,47,94
100,30,18,22,100
17,41,28,40,36
100,50,56,49,100
100,45,53,44,97
63,31,34,30,100
100,58,62,100,95
86,52,34,43,68
13,59,60,94,47
100,46,100,37,89
100,33,47,23,100
100,35,35,34,87
100,59,60,100,86
100,38,39,37,100
95,43,53,41,96
56,46,53,44,75
100,36,66,26,100
100,42,31,34,89
100,50,49,39,95
100,49,55,48,97
67,36,23,26,91
17,54,36,46,46
90,40,45,39,68
16,43,51,42,66
100,36,32,34,94
